wrist	cổ tay
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressing	làm chán nản làm thát vọng, làm trì trệ
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depth	chiều sâu, độ dày
derive	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire	ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
in detail	tường tận, tỉ mỉ
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển,  mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagram	biểu đồ
diamond	kim cương
diary	lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
dying	sự chết
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn;  gửi, viết cho ai, điều khiển
directly	trực tiếp, thẳng
direction	sự điều khiển, sự chỉ huy
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointing	làm chán ngán, làm thất vọng
disappointed	thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusting	làm ghê tởm, kinh tởm
disgusted	chán ghét, phẫn nộ
dish	đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	sự ly dị
divorced	đã ly dị
do	làm
undo	tháo, gỡ; xóa bỏ, hủy bỏ
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la Mỹ
domestic	vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downwards	xuống, đi xuống
downward	xuống, đi xuống
dozen	tá (12)
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawing	bản vẽ, bức vẽ, sự kéo
drawer	người vẽ, người kéo
dream	giấc mơ, mơ
dress	quần áo, mặc (quần áo), ăn mặc
dressed	cách ăn mặc
drink	đồ uống; uống
drive	lái , đua xe;  cuộc đua xe (điều khiển)
driving	sự lái xe, cuộc đua xe
driver	người lái xe
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
due	đến kỳ hạn (trả nợ); xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
dull	chậm hiểu, ngu đần
dump	đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
each	mỗi
each other	nhau, lẫn nhau
ear	tai
early	sớm
earn	kiếm (tiền), giành (phần thưởng)
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
east	hướng đông, phía đông, (thuộc) đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
easily	dễ dàng
eat	ăn
economic	Kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học; rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện (kỹ năng)
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
egg	trứng
either	mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	điện, có điện, phát điện
electrical	điện
electricity	điện, điện lực; điện lực học
electronic	điện tử
elegant	thanh lịch, tao nhã
element	yếu tố, nguyên tố
elevator	máy nâng, thang máy
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email	thư điện tử; gửi thư điện tử
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassing	làm lúng túng, ngăn trở
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
unemployed	thất nghiệp; không dùng, không sử dụng được
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
unemployment	sự thất nghiệp, nạn thất nghiệp
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên,  khuyến khích, sự làm can đảm
end	giới hạn, sự kết thúc; kết thúc, chấm dứt
in the end	cuối cùng, về sau
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn; đã có người
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertaining	giải trí
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	tiêu đề, cho tên (sách); cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
equal	ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	tương đương; từ, vật tương đương
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
in detail	tường tận, tỉ mỉ
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển,  mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagram	biểu đồ
diamond	kim cương
diary	lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
dying	sự chết
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn;  gửi, viết cho ai, điều khiển
directly	trực tiếp, thẳng
direction	sự điều khiển, sự chỉ huy
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointing	làm chán ngán, làm thất vọng
disappointed	thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusting	làm ghê tởm, kinh tởm
disgusted	chán ghét, phẫn nộ
dish	đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	sự ly dị
divorced	đã ly dị
do	làm
undo	tháo, gỡ; xóa bỏ, hủy bỏ
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la Mỹ
domestic	vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downwards	xuống, đi xuống
downward	xuống, đi xuống
dozen	tá (12)
character	tính cách, đặc tính, nhân vật
characteristic	riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
charge	nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc
charity	lòng từ thiện, lòng nhân đức; sự bố thí
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	săn bắt; sự săn bắt
chat	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ, rẻ tiền
cheat	lừa, lừa đảo; trò lừa đảo, trò gian lận
check	kiểm tra; sự kiểm tra
cheek	má
cheerful	vui mừng, phấn khởi, hồ hởi
cheerfully	vui vẻ, phấn khởi
cheese	pho mát
chemical	thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóa học, môn hóa học, ngành hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child	đứa bé, đứa trẻ
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
church	nhà thờ
cigarette	điếu thuốc lá
cinema	rạp xi nê, rạp chiếu bóng
circle	đường tròn, hình tròn
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	(thuộc) công dân
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class	lớp học
classic	cổ điển, kinh điển
classroom	lớp học, phòng học
clean	sạch, sạch sẽ;
clear	lau chùi, quét dọn
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	làm thành tiếng lách cách; tiếng lách cách, cú nhắp (chuột)
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	đóng kín, chật chội, che đậy
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
apparently	nhìn bên ngoài, hình như
appeal	sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ; nhận thức
approach	đến gần, lại gần; sự đến gần, sự lại gần
appropriate	thích hợp, thích đáng
approval	sự tán thành, đồng ý, sự chấp thuận
approve	tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	giống với, giống hệt với
approximately	khoảng chừng, độ chừng
April	tháng Tư
area	diện tích, bề mặt
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay; vũ trang, trang bị (vũ khí)
arms	vũ khí, binh giới, binh khí
armed	vũ trang
army	quân đội
around	xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive	đến, tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
artificial	nhân tạo
artificially	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	như (as you know…)
ashamed	ngượng, xấu hổ
aside	về một bên, sang một bên
aside	ngoài ra, trừ ra
apart	ngoài… ra
ask	hỏi
asleep	ngủ, đang ngủ
fall asleep	ngủ thiếp đi
aspect	vẻ bề ngoài, diện mạo
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúp đỡ, người phụ tá; giúp đỡ, phụ tá
associate	kết giao, liên kết, kết hợp, cho cộng tác
associated with	liên kết với
association	sự kết hợp, sự liên kết
assume	mang, khoác, có, lấy (cái vẻ, tính chất…)
assure	đảm bảo, cam đoan
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công, sự công kích; tấn công, công kích
attempt	sự cố gắng, sự thử; cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
August	tháng Tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
automatic	tự động
automatically	một cách tự động
autumn	mùa thu (US: mùa thu là fall)
available	có thể dùng được, có giá trị, hiệu lực
average	trung bình, số trung bình, mức trung bình
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	phần thưởng; tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awfully	tàn khốc, khủng khiếp
awkward	vụng về, lung túng
awkwardly	vụng về, lung túng
back	lưng, về phía sau, trở lại
background	phía sau; nền
backward	về phía sau, lùi lại
bacteria	vi khuẩn
bad	xấu, tồi
go bad	bẩn thỉu, thối, hỏng
badly	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
bag	bao, túi, cặp xách
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân; làm cho cân bằng, tương xứng
ball	quả bóng
ban	cấm, cấm chỉ; sự cấm
band	băng, đai, nẹp
bandage	dải băng; băng bó
bank	bờ (sông…) , đê
bar	quán bán rượu
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
based on	dựa trên
basic	cơ bản, cơ sở
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
bath	sự tắm
bathroom	buồng tắm, nhà vệ sinh
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế
beach	bãi biển
beak	mỏ chim
bear	mang, cầm, vác, đeo, ôm
beard	râu
beat	tiếng đập, sự đập; đánh đập, đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vì
because of	vì, do bởi
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc bắt đầu, lúc khởi đầu
behalf	sự thay mặt
on behalf of	thay mặt cho ai, nhân danh ai
on sb’s behalf	nhân danh cá nhân ai
behave	đối xử, ăn ở, cư xử
behind	sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
bent	khiếu, sở thích, khuynh hướng
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích; giúp ích, làm lợi cho
beside	bên cạnh, so với
bet	đánh cuộc, cá cược; sự đánh cuộc
betting	sự đánh cuộc
better	tốt hơn, tốt nhất
good, well	tốt, khỏe
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bicycle	xe đạp
yard	thước Anh (bằng 0, 914 mét)
yawn	há miệng; cử chỉ ngáp
yeah	vâng, ừ
year	năm
yellow	vàng; màu vàng
yes	vâng, phải, có chứ
yesterday	hôm qua
yet	còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên
you	anh, chị, ông, bà, ngài, ngươi, mày; các anh, các chị, các ông, các bà, các ngài, các người, chúng mày
young	trẻ, trẻ tuổi, thanh niên
your	của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày
yours	cái của anh, cái của chị, cái của ngài, cái của mày; cái của các anh, cái của các chị, cái của các ngài, cái của chúng mày
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
youth	tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu
zero number	số không
zone	khu vực, miền, vùng
